step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
164,TRANSFER,494531.92,C1085858428,0.0,0.0,C1289313812,1149485.91,1644017.84,0,0
282,CASH_OUT,25494.83,C1689585489,0.0,0.0,C283972309,178520.93,204015.76,0,0
283,CASH_OUT,212105.2,C1446494202,446.0,0.0,C460025153,144622.75,356727.96,0,0
249,CASH_OUT,134228.5,C471329919,0.0,0.0,C2121315520,295869.35,430097.85,0,0
355,CASH_OUT,188011.64,C1259179315,0.0,0.0,C609450664,1359803.13,1547814.77,0,0
231,CASH_OUT,34550.65,C540796744,0.0,0.0,C433577682,706258.2,740808.85,0,0
13,CASH_OUT,445611.8,C438505102,20379.0,0.0,C1878266978,0.0,445611.8,0,0
576,CASH_OUT,1322277.84,C1585759405,1322277.84,0.0,C1855735331,0.0,1322277.84,1,0
262,CASH_OUT,40089.17,C1961731835,21832.0,0.0,C72993822,0.0,40089.17,0,0
251,CASH_OUT,111424.1,C709433809,0.0,0.0,C766524413,1928866.67,2040290.77,0,0
375,CASH_OUT,45994.8,C966180392,0.0,0.0,C1926343982,5593514.5,5639509.3,0,0
23,CASH_OUT,327832.83,C1618747256,8456.67,0.0,C281011897,2363817.16,2691649.99,0,0
37,CASH_OUT,98436.66,C110719940,0.0,0.0,C38170121,1223546.26,1321982.91,0,0
207,CASH_OUT,134893.0,C1520732501,318.0,0.0,C504888169,0.0,134893.0,0,0
14,CASH_OUT,305701.78,C1930095287,0.0,0.0,C2137848242,6349143.53,7880863.93,0,0
466,TRANSFER,104171.37,C952245558,104171.37,0.0,C2101227966,0.0,0.0,1,0
436,CASH_OUT,539658.73,C1985701449,539658.73,0.0,C1862889538,0.0,539658.73,1,0
567,CASH_OUT,7427.87,C908355961,10564.17,3136.3,C911986457,305647.16,313075.03,0,0
349,CASH_OUT,64789.66,C1622627787,19315.0,0.0,C346692556,401212.57,466002.23,0,0
